Entity,Code,Year,Wind Consumption - TWh,Hydro Consumption - TWh,Solar Consumption - TWh,Nuclear Consumption - TWh,Biofuels Consumption - TWh - Total,Geo Biomass Other - TWh,Coal,Oil Consumption - TWh,Gas Consumption - TWh,
Algeria,DZA,2021,0.027472222223877907,0.02433333359658718,1.7374736070632935,,,0,4.803190231323242,219.8415985107422,458.1499938964844,
Argentina,ARG,2021,33.853389739990234,51.28042221069336,5.745080471038818,27.197568893432617,10.41952896118164,2.1038966178894043,18.253904342651367,340.5950622558594,459.3515625,
Australia,AUS,2021,70.11614990234375,41.85683059692383,81.62411499023438,,1.227579951286316,3.3440449237823486,452.9680480957031,536.3489990234375,394.07318115234375,
Austria,AUT,2021,17.667512893676758,112.1285400390625,5.5601911544799805,,4.9963836669921875,4.392518520355225,31.203800201416016,136.1481170654297,90.13871002197266,
Azerbaijan,AZE,2021,0.23916417360305786,3.3422813415527344,0.14444056153297424,,,0.0966000035405159,0.00931666698306799,51.99831771850586,127.20475006103516,
Bangladesh,BGD,2021,0.01330555509775877,1.784226417541504,1.1793066263198853,,,0.003021426033228636,38.156368255615234,106.9151611328125,311.2962646484375,
Belarus,BLR,2021,0.48276248574256897,0.8975203037261963,0.745835542678833,14.5133056640625,,0.26726776361465454,8.457040786743164,90.80558013916016,190.2812957763672,
Belgium,BEL,2021,31.083139419555664,0.9795697331428528,14.674829483032227,126.99901580810547,8.26931095123291,4.916278839111328,28.73601722717285,361.2151184082031,169.60623168945312,
Brazil,BRA,2021,189.1490478515625,949.378662109375,43.83530807495117,36.922523498535156,255.4718475341797,54.9592170715332,197.9084930419922,1237.8758544921875,404.4645080566406,
Bulgaria,BGR,2021,3.7502806186676025,11.938650131225586,3.8977296352386475,41.38572692871094,,1.6946979761123657,60.661685943603516,54.47787857055664,33.02000045776367,
Canada,CAN,2021,91.88993072509766,996.5516967773438,13.506599426269531,230.9077606201172,24.128400802612305,9.695906639099121,133.30166625976562,1158.2396240234375,1191.678955078125,
Chile,CHL,2021,24.81068992614746,43.26152038574219,27.727163314819336,,,8.45371150970459,73.52078247070312,203.36605834960938,62.7244987487793,
China,CHN,2021,1715.493408203125,3401.679931640625,855.6533813476562,1023.2131958007812,29.90143585205078,169.93157958984375,23936.060546875,8499.5830078125,3786.944091796875,
Colombia,COL,2021,0.15661388635635376,156.6295623779297,0.8303283452987671,,9.809893608093262,2.8208167552948,36.866676330566406,194.7450408935547,126.26629638671875,
Croatia,HRV,2021,5.40950870513916,18.717302322387695,0.2545855641365051,0,,1.1852294206619263,4.9729533195495605,37.24599075317383,28.260244369506836,
Cyprus,CYP,2021,0.6449533104896545,,1.2400405406951904,,,0.041871000081300735,0.47995832562446594,27.052001953125,,
Czechia,CZE,2021,1.5739753246307373,6.301450729370117,5.627636432647705,77.16453552246094,,5.255897045135498,150.99842834472656,112.68426513671875,90.69425201416016,
Denmark,DNK,2021,41.94992446899414,0.042674724012613297,3.343899726867676,,,8.73422622680664,12.841354370117188,74.18316650390625,23.15917205810547,
Ecuador,ECU,2021,0.1622599959373474,66.92049407958984,0.09647694230079651,,,0.41492998600006104,0.5498480796813965,136.7444610595703,5.497366905212402,
Egypt,EGY,2021,19.962154388427734,38.300052642822266,7.401943683624268,,,0,14.113941192626953,355.3579406738281,618.7666625976562,
Estonia,EST,2021,1.941990613937378,0.08125833421945572,0.6597444415092468,0,,2.115846872329712,34.12241744995117,17.034818649291992,4.8583478927612305,
Finland,FIN,2021,21.496397018432617,41.1003303527832,0.8061480522155762,59.86375427246094,4.5680670738220215,13.605262756347656,32.88568878173828,97.29049682617188,20.42361068725586,
France,FRA,2021,96.73158264160156,151.67970275878906,38.218421936035156,952.5582275390625,34.839786529541016,11.192471504211426,64.64903259277344,807.9752807617188,430.4139404296875,
Germany,DEU,2021,307.9828796386719,49.97853088378906,128.2171630859375,173.2557373046875,34.587852478027344,50.900001525878906,587.6666870117188,1162.248291015625,905.3031005859375,
Greece,GRC,2021,27.399030685424805,15.238983154296875,13.52292251586914,0,,0.17746587097644806,20.551164627075195,143.1943359375,69.8031005859375,
Hong Kong,HKG,2021,0.0021472221706062555,0,0.021166667342185974,0,,0.07552526891231537,42.46500015258789,151.88185119628906,48.254669189453125,
Hungary,HUN,2021,1.7040611505508423,0.5443944334983826,9.925811767578125,40.150672912597656,,2.2171249389648438,16.831769943237305,94.82250213623047,107.86583709716797,
Iceland,ISL,2021,0.015916666015982628,36.172950744628906,0,,,5.787858009338379,0,7.448796272277832,,
India,IND,2021,178.18063354492188,419.5198669433594,178.73423767089844,110.27589416503906,26.62679100036621,35.47361755371094,5580.1513671875,2612.80712890625,621.678466796875,
Indonesia,IDN,2021,1.143487811088562,64.62406921386719,0.5040244460105896,,85.73135375976562,30.874500274658203,911.55322265625,786.1714477539062,370.8069763183594,
Iran,IRN,2021,2.958547592163086,38.942081451416016,1.760473608970642,8.880183219909668,,0.010685999877750874,20.550382614135742,901.8779296875,2411.1884765625,
Iraq,IRQ,2021,0,7.875621795654297,0.9852966666221619,,,0,,409.943603515625,170.94403076171875,
Ireland,IRL,2021,25.415170669555664,1.9567807912826538,0.16643555462360382,0,,0.9686464071273804,14.548378944396973,76.42920684814453,50.898868560791016,
Israel,ISR,2021,0,0,14.196685791015625,,,0.24838301539421082,45.14167404174805,114.74180603027344,116.59475708007812,
Italy,ITA,2021,53.95094299316406,112.66448211669922,65.5921859741211,,13.746133804321289,25.75625228881836,63.85535430908203,652.2991943359375,725.02587890625,
Japan,JPN,2021,21.58734130859375,203.14894104003906,225.73095703125,153.72714233398438,,35.75764083862305,1332.6513671875,1836.7647705078125,1036.2242431640625,
Kazakhstan,KAZ,2021,4.3792805671691895,23.798641204833984,3.3798060417175293,,,0.004567772150039673,433.30987548828125,175.27117919921875,151.41554260253906,
Kuwait,KWT,2021,0.009527777321636677,,0.1531749963760376,,,0,0.7528833150863647,231.50823974609375,250.60250854492188,
Latvia,LVA,2021,0.3663347363471985,7.096427917480469,0.012638889253139496,0,,0.8208996057510376,0.3721599876880646,19.35628890991211,11.588500022888184,
Lithuania,LTU,2021,3.562413215637207,1.0075005292892456,0.32366082072257996,0,,0.5536733865737915,2.120049476623535,37.693031311035156,22.28183937072754,
Luxembourg,LUX,2021,0.8871566653251648,0.2757149934768677,0.579087495803833,0,,0.389762818813324,0.393800288438797,29.300817489624023,7.727053165435791,
Malaysia,MYS,2021,0,84.66468048095703,3.935002565383911,,,1.6377085447311401,246.83322143554688,404.4349670410156,410.6738586425781,
Mexico,MEX,2021,54.69406509399414,90.85639953613281,31.159086227416992,29.93832015991211,2.5386195182800293,6.906034469604492,64.32958984375,711.0138549804688,882.2606201171875,
Morocco,MAR,2021,13.362505912780762,2.1412456035614014,4.76289176940918,,,0,85.41785430908203,152.0574951171875,7.661271572113037,
Netherlands,NLD,2021,46.82321548461914,0.2325936108827591,29.923446655273438,9.607287406921387,7.97451114654541,10.798826217651367,65.13888549804688,420.3123779296875,350.6666564941406,
New Zealand,NZL,2021,6.913506031036377,63.384334564208984,0.536044716835022,,,9.01457691192627,20.031789779663086,80.81326293945312,38.81425094604492,
North Macedonia,MKD,2021,0.2703969478607178,3.7984282970428467,0.06618361175060272,0,,0.0538179986178875,7.041154384613037,13.619163513183594,4.086712837219238,
Norway,NOR,2021,30.790531158447266,374.42193603515625,0.5155458450317383,0,,0.25318899750709534,9.147199630737305,105.00849914550781,42.83782958984375,
Oman,OMN,2021,0.27217361330986023,,0.6822458505630493,,,0,3.64188289642334,116.61083221435547,295.25537109375,
Pakistan,PAK,2021,8.981391906738281,98.61161041259766,3.9697325229644775,39.80699920654297,,0.7021442651748657,186.5941619873047,283.2127380371094,447.89166259765625,
Peru,PER,2021,4.715251922607422,83.5897445678711,2.290829658508301,,,0.5788325071334839,12.833915710449219,143.28604125976562,80.23795318603516,
Philippines,PHL,2021,3.25746750831604,24.417112350463867,3.8228607177734375,,,10.798090934753418,219.07374572753906,227.7937469482422,32.83132553100586,
Poland,POL,2021,42.39801788330078,6.120407581329346,10.333257675170898,0,12.607462882995605,7.616000175476074,522.8817749023438,382.7872009277344,232.4540557861328,
Portugal,PRT,2021,34.605552673339844,31.015472412109375,5.777622699737549,,3.6700432300567627,3.742000102996826,2.981557607650757,117.1850357055664,58.63542556762695,
Qatar,QAT,2021,0,,0.021888889372348785,,,0.11484400182962418,0.07467889040708542,134.81585693359375,400.0513610839844,
Romania,ROU,2021,17.20726776123047,44.22244644165039,4.450967311859131,28.333589553833008,,0.7086763381958008,48.2154655456543,126.4298095703125,114.3570556640625,
Russia,RUS,2021,6.763690948486328,561.364501953125,6.049861431121826,558.4149169921875,,0.518671989440918,947.807861328125,1862.9501953125,4746.140625,
Saudi Arabia,SAU,2021,0,,2.172931671142578,,,0,1.0253756046295166,1830.65771484375,1172.869873046875,
Singapore,SGP,2021,0,,1.0382835865020752,,,0.7592454552650452,9.046126365661621,814.1700439453125,133.51856994628906,
Slovakia,SVK,2021,0.010444444604218006,11.066621780395508,1.7586582899093628,39.61775207519531,,2.045549154281616,34.03786849975586,49.06925964355469,53.2105598449707,
Slovenia,SVN,2021,0.014472221955657005,12.316585540771484,0.7907727956771851,14.327375411987305,,0.29847902059555054,9.662629127502441,26.711938858032227,9.007049560546875,
South Africa,ZAF,2021,21.427942276000977,3.6659908294677734,20.666711807250977,26.174699783325195,,0.431333988904953,980.9556274414062,289.1666564941406,38.534122467041016,
South Korea,KOR,2021,8.286730766296387,7.994256973266602,57.084747314453125,396.7687683105469,8.186356544494629,15.214927673339844,843.4017944335938,1497.4317626953125,625.4775390625,
Spain,ESP,2021,163.15977478027344,77.36577606201172,70.14282989501953,141.87974548339844,15.231950759887695,6.615242004394531,44.66680908203125,680.6800537109375,338.9864807128906,
Sri Lanka,LKA,2021,1.7910436391830444,18.541419982910156,1.9918444156646729,,,0.12831242382526398,16.77747917175293,66.69932556152344,,
Sweden,SWE,2021,71.4522933959961,186.983642578125,3.79156494140625,133.29139709472656,18.290904998779297,13.329401016235352,15.748912811279297,149.25672912597656,13.047477722167969,
Switzerland,CHE,2021,0.3783814013004303,95.13217163085938,7.866504192352295,46.527950286865234,,1.9268766641616821,1.0138888359069824,103.36624908447266,36.041561126708984,
Taiwan,TWN,2021,5.866775989532471,9.076749801635742,20.724857330322266,69.77422332763672,,1.9801239967346191,465.13922119140625,532.5452880859375,272.904541015625,
Thailand,THA,2021,9.603204727172852,11.879692077636719,13.717815399169922,,24.324424743652344,12.982535362243652,224.3853759765625,623.8592529296875,470.1372985839844,
Trinidad and Tobago,TTO,2021,0,0,0.012222222052514553,,,0,0,14.73343563079834,155.96847534179688,
Turkey,TUR,2021,81.4765853881836,145.73643493652344,33.58208465576172,,,18.727449417114258,484.0746154785156,524.6572265625,573.234619140625,
Turkmenistan,TKM,2021,0,0.015138888731598854,0.018222222104668617,,,0,,78.82733917236328,366.95098876953125,
Ukraine,UKR,2021,10.213985443115234,27.260852813720703,16.553821563720703,216.4579620361328,,0.7782466411590576,264.51666259765625,127.1524429321289,261.0518493652344,
United Arab Emirates,ARE,2021,0,,13.461434364318848,26.47608184814453,,0.006000000052154064,20.53321075439453,503.29364013671875,694.1143798828125,
United Kingdom,GBR,2021,168.66970825195312,13.122373580932617,32.40599822998047,115.1711196899414,15.995362281799316,40.00699996948242,58.423152923583984,693.3045043945312,769.4754638671875,
United States,USA,2021,1003.765869140625,674.291748046875,432.6847229003906,2056.738525390625,411.8802795410156,75.49026489257812,2936.548095703125,9813.041015625,8267.1748046875,
Uzbekistan,UZB,2021,0.0006444444297812879,14.36382007598877,0.12944166362285614,,,0,20.416181564331055,47.61524963378906,464.27447509765625,
Venezuela,VEN,2021,0.21794305741786957,160.19680786132812,0.008055555634200573,,,0.01106967218220234,0.11134472489356995,163.9740447998047,239.77127075195312,
Vietnam,VNM,2021,6.258078575134277,198.60440063476562,67.432861328125,0,,0.15803609788417816,596.066162109375,259.85955810546875,71.21700286865234,
World,OWID_WRL,2021,4872.09521484375,11183.2255859375,2701.72216796875,7031.33984375,1139.921142578125,762.7826538085938,44473.1953125,51170.47265625,40374.60546875,
